timestamp_ms,csv_idx,body_name,des_pos_x,des_pos_y,des_pos_z,act_pos_x,act_pos_y,act_pos_z,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,des_quat_w,des_quat_x,des_quat_y,des_quat_z,act_quat_w,act_quat_x,act_quat_y,act_quat_z,orient_err_angle
840,6,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993607,-0.053859,-0.098999,0.006572,0.999990,-0.004015,-0.001944,0.000105,0.219080
840,6,THUMB_EE,0.103475,0.073469,-0.008367,0.038029,0.102954,0.008512,0.065446,-0.029484,-0.016879,0.073739,0.810751,-0.502116,-0.121312,0.275413,0.648944,-0.657917,-0.267147,0.273221,0.537232
840,6,INDEX_EE,0.157673,0.004571,0.032708,0.155847,0.020303,0.033894,0.001826,-0.015732,-0.001187,0.015882,0.952834,-0.298070,-0.000731,-0.057117,0.999943,-0.004016,0.009863,0.000058,0.609204
840,6,MIDDLE_EE,0.160176,-0.038673,0.043576,0.164229,-0.039619,0.033947,-0.004053,0.000946,0.009629,0.010490,0.982927,-0.010322,-0.018413,-0.182783,0.991396,-0.002021,0.010516,-0.130458,0.121917
860,6,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993607,-0.053859,-0.098999,0.006572,0.999989,-0.004211,-0.001958,0.000107,0.218875
860,6,THUMB_EE,0.103475,0.073469,-0.008367,0.038035,0.102949,0.008416,0.065440,-0.029480,-0.016783,0.073710,0.810751,-0.502116,-0.121312,0.275413,0.648728,-0.658153,-0.266846,0.273458,0.537439
860,6,INDEX_EE,0.157673,0.004571,0.032708,0.155844,0.020316,0.033788,0.001829,-0.015745,-0.001080,0.015888,0.952834,-0.298070,-0.000731,-0.057117,0.999935,-0.004212,0.010642,0.000054,0.608871
860,6,MIDDLE_EE,0.160176,-0.038673,0.043576,0.164225,-0.039605,0.033832,-0.004049,0.000932,0.009743,0.010592,0.982927,-0.010322,-0.018413,-0.182783,0.991386,-0.002099,0.011344,-0.130461,0.122683
880,6,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993607,-0.053859,-0.098999,0.006572,0.999988,-0.004399,-0.001972,0.000108,0.218680
880,6,THUMB_EE,0.103475,0.073469,-0.008367,0.038041,0.102945,0.008322,0.065434,-0.029475,-0.016689,0.073681,0.810751,-0.502116,-0.121312,0.275413,0.648517,-0.658385,-0.266545,0.273695,0.537636
